title,subtitle,add_labels,date,speakers,topics,scripture,summary,published,sub_id
Do New Year Resolutions Work?,"Sunday Homilies, 31 Dec 20",,12/31/20,Fr Daniel Fanous,Unity,,"According to some studies, most new year resolutions will fail. But there are some things that we can do as a community to ensure that Christ becomes visible to everyone around us in the new year. Together, Fr Daniel encourages us to do simple acts of kindness throughout the month of January. Listen intently to find out more.",yes,d4d64791-3823-405c-bf7f-80f1b79b178d
Christian Growth Mindset,"Youth Talks, 25 Dec 20",,12/25/20,Sarah Ecladios,,,Join Sarah Ecladios as she discusses the importance of a growth mindset and how we can apply this to our everyday Christian lives.,yes,1ab392ac-6704-4d0b-98fe-c37bfd72fe28
Our Response To Being Saved,"Sunday Homilies, 06 Jan 15",,1/6/15,Fr Benjamin Abouelkheir,,,Tune in as Fr Benjamin Abouelkheir discusses the ways which people should respond to being saved by our great and almighty King,yes,c19708a6-2387-4ade-a058-1d11b179b9cc
Ancient Faith Ministry Part 1: The Orthodox Faith - Sources Of Christian Teaching,"Series, 18 Nov 20",,11/18/20,,Faith,,"The Ancient Faith Ministry is a series of sermons that helps to dive deeply in a systematic way what it means to be an Orthodox believer.
Tune in with Fr Anthony Mourad in the first part as he explores different sources of Christian teaching",yes,91921acc-4fe2-4e0e-a1a2-13dcc1725d53
Ancient Faith Ministry Part 3: What is Sola Scriptura?,"Series, 01 Dec 20",,12/1/20,,Faith|Orthodoxy,,"The Ancient Faith Ministry is a series of sermons that helps to dive deeply in a systematic way what it means to be an Orthodox believer.
Tune in with Amir in the third part as he explores how orthodoxy is both scripture and tradition.",yes,7441edab-9dec-4e66-bed6-8b552d4665a5
Ancient Faith Ministry Part 2: Divine Inspiration In The Approach To Scripture,"Series, 25 Nov 20",,11/25/20,,Faith,,"The Ancient Faith Ministry is a series of sermons that helps to dive deeply in a systematic way what it means to be an Orthodox believer.
Tune in with Fr David Azer in the second part as he explores the approach to Scripture",yes,2af56590-8ac0-4904-b8ac-ae7d3861186f
"Ancient Faith Ministry Part 4: The Holy Trinity (Part 1) - 3 Persons, 1 Essence","Series, 08 Dec 20",,12/8/20,,Faith|Trinity,,"The Ancient Faith Ministry is a series of sermons that helps to dive deeply in a systematic way what it means to be an Orthodox believer.
Tune in with Mina Azer in the fourth part as he discusses the Trinity.",yes,b046b5cb-1b7b-45f8-850b-3249266ee845
"Ancient Faith Ministry Part 5: The Holy Trinity (Part 2) - The Persons, The Creed","Series, 15 Dec 20",,12/15/20,,Faith|Trinity,,"The Ancient Faith Ministry is a series of sermons that helps to dive deeply in a systematic way what it means to be an Orthodox believer.
Tune in with Mina Azer in the fifth part as he continues on his discussion of the Trinity.",yes,8d241782-2add-4bd4-834b-00f08d34d9dd
Ancient Faith Ministry Part 6: Understanding Creation - Genesis 1 & 2,"Series, 22 Dec 20",,12/22/20,,Creation|Faith,,"The Ancient Faith Ministry is a series of sermons that helps to dive deeply in a systematic way what it means to be an Orthodox believer.
Tune in with Fr Anthony Mourad in the sixth part as he helps with our understanding of Creation.",yes,4842557e-cff7-481f-89e2-269245ebb5de
"Antient Faith Ministry Part 7: Understanding Creation (Part 2) - Created In His Image, Called To Be","Series, 30 Dec 20",,12/30/20,,Creation|Faith,,"The Ancient Faith Ministry is a series of sermons that helps to dive deeply in a systematic way what it means to be an Orthodox believer.
Tune in with Fr Anthony Mourad in the sixth part as he continues the discussion of Creation.",yes,4cf4260f-d8df-47ce-abcc-5b034e4ddc5e
The Rich Young Ruler and Advent,"Sunday Homilies, 06 Dec 20","St Verena Coptic Orthodox Church, Nashville, TN",12/6/20,Fr Theodore Ghaly,Eternal Life,,"In this Sunday's sermon, Fr Theodore Ghaly contemplates on the rich ruler that desired to enter the Kingdom of Heaven and asked Christ to show him the way or a method of obtaining it. Yet, the rich young ruler did not realise that Christ IS the way and requires giving up his treasures on earth. 

Are we willing to give up our treasures on earth to follow Christ? Tune in to this empowering sermon!",yes,2fc808a6-0782-4b07-8f38-c75a9fd7585b
Free And Yet Costs Everything,"Sunday Homilies, 29 Nov 20","St Verena Coptic Orthodox Church, Nashville, TN",11/29/20,Fr Theodore Ghaly,Commitment|Discipleship|Following Christ|Spiritual Warfare,,"In this Sunday's sermon, Fr Theodore Ghaly contemplates on the cost of discipleship to Christ. Following Christ requires careful thinking and commitment to endure spiritual warfare at the cost of all others and worldly cares. 

Are we following Christ superficially or in truth, bearing the cost of discipleship? Tune in to find out how we can truly follow Christ!",yes,cd80672a-2af1-49d4-8e06-372822f1a4d1
Choking Out the Seed,"Sunday Homilies, 15 Nov 20","St Verena Coptic Orthodox Church, Nashville, TN",11/15/20,Fr Theodore Ghaly,Parable,,"In this Sunday's sermon, Fr Theodore Ghaly contemplates on the parable of the Sower and focuses on one soil in particular and that is the soil of thorns. Often we consider these thorns to symbolise bad or corruptive sins that choke goodness. Yet they can be more than just sins but habits and priorities that choke our time with God even if they're not corruptive. 

Tune in to find out some of the thorns that are choking our spiritual life!",yes,c099ffe8-6adc-40bc-a0ff-0332bc8da484
"God, The Promise Keeper","Sunday Homilies, 13 Dec 20","St Verena Coptic Orthodox Church, Nashville, TN",12/13/20,Fr Theodore Ghaly,God's Promise|Prayer,,"In this Sunday's sermon, Fr Theodore Ghaly contemplates on God's promise to Elizabeth to bear a son in her old age. After years of prayer, devotion to God and living righteously, God rewarded Zachariah and Elizabeth with not just any son, but John the Baptist as written, ""For I say to you, among those born of women there is not a greater prophet than John the Baptist"" (Luke 7:28)

God hears and God answers in His perfect timing. Tune in to this uplifting sermon!",yes,4033fd7f-2623-470f-8e79-2d1f36bd2d7e
My Soul Magnifies the Lord,"Sunday Homilies, 27 Dec 20",,12/27/20,Fr Abraham Fam,,,Tune in as Fr Abraham Fam explains that magnifying the Lord is seeing God as who He truly is.,yes,6943b8c8-d970-4066-84de-efca02b6237f
21-Jan,,,,,,,,no,1d6388ef-ad82-45bb-89d1-cbf232056387
"Scripture, Tradition, and the Canon - Fr John Behr","Apologetics, 30 Dec 20",,12/30/20,Fr John Behr,Faith,,Which comes first: the Bible or Tradition? What are the foundations of Orthodox doctrine? How did the earliest Christians view the relation between Scripture and Christian teaching? Tune in to Fr. John Behr as he discusses the history and core of our Orthodox faith.,yes,52c10007-0b73-4945-98f1-7880c2fede02
Seeds Are To Be Sowed,"Sunday Homilies, 15 Nov 20","St Maurice and St Verena Coptic Orthodox Church, Ontario, CA",11/15/20,Fr Thomas Hanna,Parable|Purpose|Transformation,,"In this Sunday's sermon, Fr Thomas Hanna contemplates on the parable of the Sower focusing on the soils. Often when we hear the Gospel of the Sower repeatedly, we turn our ears from hearing as we have heard it time and time again. Yet the Word of God is powerful every time we hear it, if we allow the Seed to take root and transform our lives.

'If my life is like a jar, the purpose of seeds are not to be collected in this jar as collecting information, these seeds have no purpose or transformation in a jar. Seeds are to be sowed.' - Fr Thomas Hanna

Tune in to this inspiring Sunday sermon!",yes,061b8a39-db20-4a39-9649-f47c58c3d266
January 2021 video guide,The Bible: sharper than any two edged sword,,,,,,,yes,5b7cb544-d37c-4852-8e31-0bedee26679c
Checklist Theology,"Sunday Homilies, 06 Dec 20","St Maurice and St Verena Coptic Orthodox Church, Ontario, CA",12/6/20,Fr Thomas Hanna,Eternal Life,,"In this Sunday's sermon, Fr Thomas Hanna contemplates on the rich young ruler who asked Christ for a checklist to subscribe, in order to inherit eternal life. 

'A life with Christ, being a Christian, being a disciple cannot simply be reduced to a list of tasks, being a disciple of Christ does not mean that I subscribe to this checklist theology' - Fr Thomas Hanna 

Tune in to a transformative Sunday sermon!",yes,dd3de452-b27c-457f-afe0-4b3bed4d1187
Transforming For The New Year,"Spiritual Reflections, 31 Dec 20",,12/31/20,Fr Elijah Iskander,,,"This year, we should aim not allow a day to pass without spending time with God. This year, we should embrace Godly living and abandon the sins of the last year. In this talk, Fr Elijah Iskander meditates on the many ways we should transform ourselves for the new year.",yes,2d6ac6fd-fd44-481c-a127-3229dbcfc2ba
Character Study: Adam & Eve (Part 2),"Spiritual Reflections, 27 Dec 20",,12/27/20,Fr. Daoud Lamei,,,"Tune in to Fr Daoud's sermon as he delves into the serpent's deceit, the original sin and its impact on humanity.",yes,8ae3cc9b-1302-4a54-969f-dec56ca4bd70
